,open,high,low,close
1,3230,3240,3225,3232
2,3234,3236.5,3221.5,3221.5
3,3226.5,3228,3220,3228
4,3229,3243.5,3229,3231.5
5,3233,3234.5,3217,3219.5
6,3221,3223,3208,3213.5
7,3215.5,3216.5,3208.5,3209.5
8,3210.5,3210.5,3200,3201
9,3196,3202.5,3191.5,3200.5
10,3201.5,3205.5,3192.5,3205.5
11,3206,3216,3206,3213.5
12,3215.5,3215.5,3208,3212.5
13,3213.5,3221.5,3213.5,3220
14,3221.5,3222,3207.5,3208
15,3207.5,3215,3206,3215
16,3217,3223.5,3213,3213
17,3211.5,3223.5,3211.5,3223.5
18,3222.5,3227,3220.5,3221.5
19,3216.5,3228.5,3215,3221.5
20,3222.5,3224,3214,3214
21,3213,3216.5,3208,3216.5
22,3215.5,3221,3211,3212
23,3211.5,3221,3210.5,3220
24,3221,3222,3214,3219.5
25,3214.5,3219,3212,3218.5
26,3220.5,3225.5,3215,3222
27,3224,3233.5,3220.5,3233.5
28,3232.5,3235.5,3227.5,3227.5
29,3232.5,3235.5,3229.5,3234
30,3236,3248,3236,3242.5
31,3243.5,3243.5,3233,3233
32,3238,3238,3228.5,3229
33,3234,3239,3232.5,3234.5
34,3234,3240.5,3230.5,3230.5
35,3231.5,3236.5,3229,3229
36,3231,3231,3223.5,3228.5
37,3223.5,3229,3218.5,3229
38,3227,3232,3225,3225.5
39,3226.5,3227.5,3217.5,3226.5
40,3225,3232.5,3224.5,3225.5
41,3230.5,3236,3226.5,3234.5
42,3235.5,3241.5,3228,3229
43,3227.5,3227.5,3212.5,3212.5
44,3213,3213,3197.5,3203
45,3205,3208,3199.5,3204.5
46,3203.5,3203.5,3195.5,3200.5
47,3202,3209,3202,3203.5
48,3203,3203,3186.5,3186.5
49,3191.5,3191.5,3168.5,3169
50,3164,3165,3146,3146
51,3145,3149.5,3137.5,3144.5
52,3139.5,3140,3132,3132
53,3131,3139.5,3131,3139.5
54,3137.5,3138.5,3134.5,3138
55,3140,3141.5,3135,3138.5
56,3140,3140,3122.5,3122.5
57,3120.5,3120.5,3109,3110.5
58,3109,3109,3102.5,3102.5
59,3101.5,3113.5,3101.5,3104.5
60,3099.5,3111,3099.5,3105
61,3107,3108.5,3102.5,3107.5
62,3102.5,3106.5,3098,3098
63,3100,3104.5,3098,3099
64,3099.5,3114.5,3096,3112.5
65,3112,3113.5,3109.5,3113.5
66,3113,3122.5,3113,3115.5
67,3117.5,3121.5,3111,3117.5
68,3122.5,3127,3117,3117.5
69,3118.5,3121,3113.5,3120
70,3118,3126.5,3115,3122
71,3123,3126,3113,3114.5
72,3115,3130,3115,3123
73,3125,3125,3118,3119.5
74,3120,3120,3113,3117
75,3115,3115,3109.5,3110
76,3105,3109,3100,3103
77,3104,3112.5,3102,3111.5
78,3106.5,3106.5,3094,3097.5
79,3099.5,3101,3091,3092
80,3093,3099,3090,3096.5
81,3091.5,3095,3083.5,3083.5
82,3088.5,3091,3083.5,3088.5
83,3089.5,3091.5,3085.5,3091.5
84,3093,3093,3078.5,3080.5
85,3080,3083,3075,3075
86,3076,3077.5,3069.5,3071
87,3066,3066,3055,3060
88,3061.5,3063.5,3058,3058
89,3057,3065,3056.5,3062
90,3057,3058.5,3053.5,3058.5
91,3059.5,3074,3059.5,3074
92,3075,3081,3071,3077.5
93,3082.5,3089.5,3081,3082.5
94,3081,3096.5,3081,3092.5
95,3091,3097.5,3091,3093
96,3094,3096,3089.5,3090.5
97,3088.5,3090.5,3079,3080
98,3078.5,3082,3069,3082
99,3081,3084.5,3077,3078.5
100,3079.5,3084.5,3075,3081
101,3081.5,3094,3081.5,3091.5
102,3089.5,3089.5,3079,3085.5
103,3086,3103.5,3086,3103.5
104,3108.5,3114,3106.5,3114
105,3119,3130.5,3118,3119
106,3121,3124.5,3112,3124.5
107,3123,3123,3115,3119
108,3120,3128,3117.5,3128
109,3133,3143.5,3133,3143.5
110,3144,3149.5,3142.5,3144.5
111,3143.5,3149.5,3139.5,3139.5
112,3144.5,3155,3142.5,3150.5
113,3151.5,3153,3145.5,3151
114,3149.5,3149.5,3134,3139.5
115,3141,3142.5,3135.5,3135.5
116,3136,3145,3134.5,3145
117,3150,3151,3148.5,3149
118,3148.5,3149.5,3137.5,3142.5
119,3147.5,3149.5,3144.5,3148.5
120,3147.5,3154.5,3138,3138
121,3143,3153.5,3142,3153.5
122,3154.5,3157.5,3149.5,3151.5
123,3149.5,3163,3148.5,3163
124,3165,3180.5,3163,3180.5
125,3178.5,3209,3178.5,3208
126,3210,3214,3208,3213.5
127,3215.5,3224.5,3215.5,3224
128,3223.5,3228.5,3218,3218
129,3218.5,3232.5,3216,3232.5
130,3233.5,3236,3229,3229
131,3228,3231,3212,3214.5
132,3219.5,3226.5,3213.5,3225.5
133,3227.5,3232.5,3218,3218
134,3213,3213,3200,3200.5
135,3200,3215,3200,3215
136,3215.5,3215.5,3209,3214
137,3212,3220.5,3208,3219.5
138,3218,3218,3207,3210
139,3212,3227.5,3212,3219.5
140,3218.5,3218.5,3215,3215
141,3214.5,3216,3210.5,3212.5
142,3217.5,3230.5,3217.5,3230.5
143,3225.5,3226.5,3218.5,3223
144,3221.5,3223,3211.5,3211.5
145,3213.5,3220.5,3211,3220.5
146,3215.5,3218,3207.5,3215.5
147,3210.5,3221.5,3209.5,3214
148,3213.5,3218.5,3207,3207
149,3208,3208,3191,3191
150,3191.5,3198,3191.5,3193
151,3193.5,3193.5,3185,3189.5
152,3187.5,3199,3187,3197
153,3195.5,3201,3190.5,3199.5
154,3200.5,3202.5,3193.5,3198
155,3197,3197,3165.5,3167.5
156,3165.5,3167,3159.5,3160
157,3159.5,3161,3149,3149
158,3154,3171.5,3154,3169
159,3164,3173,3162,3164.5
160,3163.5,3163.5,3153.5,3153.5
161,3154,3155,3144.5,3149.5
162,3150.5,3151,3145,3147.5
163,3145.5,3151,3143.5,3150
164,3145,3145,3129.5,3129.5
165,3131.5,3132.5,3124,3129
166,3124,3129,3122,3122.5
167,3121.5,3126,3115.5,3115.5
168,3116.5,3116.5,3098,3101.5
169,3103,3113.5,3102,3113.5
170,3111.5,3120.5,3111.5,3116
171,3114,3117.5,3111,3116
172,3114,3116.5,3112,3116.5
173,3117.5,3118.5,3113.5,3115.5
174,3114,3114,3097,3099
175,3100.5,3118,3099.5,3118
176,3113,3117,3108.5,3113.5
177,3115.5,3119,3112.5,3118.5
178,3117,3119.5,3111.5,3118
179,3118.5,3118.5,3106,3107.5
180,3112.5,3121.5,3110.5,3116.5
181,3117.5,3128.5,3116,3118.5
182,3119,3120,3110,3114
183,3113,3118,3112.5,3118
184,3119.5,3119.5,3107,3107
185,3109,3112,3102,3102.5
186,3100.5,3106,3093,3095
187,3093.5,3101.5,3091.5,3100
188,3100.5,3115.5,3100.5,3110.5
189,3111,3112.5,3098.5,3100
190,3101,3105,3098,3105
191,3106.5,3109,3089,3090
192,3089.5,3096,3088.5,3091
193,3089,3101,3089,3099
194,3098,3108.5,3098,3105.5
195,3107,3108,3097.5,3098
196,3100,3101.5,3094.5,3095
197,3096,3100,3095,3096
198,3098,3100,3095,3096.5
199,3098.5,3105,3092,3102.5
200,3103.5,3117,3103,3114
201,3113.5,3117,3110.5,3110.5
202,3109,3109,3101,3102.5
203,3102,3118.5,3102,3118.5
204,3117,3122,3114.5,3114.5
205,3112.5,3116,3104.5,3104.5
206,3103.5,3120.5,3103,3119.5
207,3121.5,3127,3120.5,3123
208,3121.5,3121.5,3103.5,3104
209,3103,3111,3101,3108.5
210,3109,3109,3094.5,3102.5
211,3101.5,3102.5,3098.5,3099
212,3097.5,3097.5,3083.5,3088.5
213,3090.5,3098.5,3090.5,3095.5
214,3095,3095.5,3084,3084
215,3084.5,3085.5,3073,3076.5
216,3078,3080,3073,3075
217,3074.5,3076,3067.5,3067.5
218,3072.5,3075,3066.5,3075
219,3076.5,3082.5,3073.5,3075.5
220,3075,3075,3059,3062.5
221,3060.5,3072,3059,3071.5
222,3073.5,3078,3071,3077
223,3078,3078,3071.5,3078
224,3076.5,3081.5,3075,3075.5
225,3070.5,3083.5,3070.5,3083.5
226,3082.5,3082.5,3075,3077
227,3077.5,3083,3077.5,3079
228,3078.5,3078.5,3068.5,3072
229,3073,3086.5,3071.5,3083.5
230,3078.5,3078.5,3064,3068.5
231,3070,3082,3068.5,3082
232,3084,3084,3066,3067
233,3062,3069,3059,3069
234,3069.5,3074.5,3065,3074.5
235,3073.5,3073.5,3065.5,3070.5
236,3070,3074.5,3064.5,3067.5
237,3068.5,3081.5,3068.5,3081.5
238,3083.5,3086.5,3080.5,3085.5
239,3085,3096,3085,3093
240,3093.5,3101,3092.5,3101
241,3102,3102,3090,3096
242,3095,3099.5,3092.5,3095
243,3093.5,3096,3089,3096
244,3098,3098,3089.5,3096.5
245,3098.5,3104.5,3096.5,3098
246,3098.5,3107,3098,3107
247,3112,3114,3103.5,3103.5
248,3105.5,3119.5,3105.5,3113.5
249,3115.5,3128.5,3112.5,3128.5
250,3129.5,3132,3117,3117
251,3116.5,3127,3116.5,3127
252,3128.5,3131,3123,3131
253,3132,3132,3120.5,3124
254,3125.5,3127,3117,3126.5
255,3125.5,3127,3114.5,3116
256,3117,3121,3110.5,3112.5
257,3114.5,3116,3107,3108.5
258,3110,3110,3099,3109.5
259,3111,3119.5,3110.5,3112
260,3117,3129.5,3117,3129.5
261,3130.5,3130.5,3123,3123
262,3121,3123,3115,3115.5
263,3114.5,3118.5,3111,3118.5
264,3120.5,3124.5,3116.5,3116.5
265,3118.5,3121,3109,3109.5
266,3109,3109,3100.5,3106
267,3104,3104.5,3098.5,3099.5
268,3101.5,3112,3101.5,3110
269,3112,3117,3108,3116
270,3115,3120.5,3113,3116.5
271,3121.5,3130,3121,3130
272,3128,3139,3128,3135.5
273,3137.5,3137.5,3132,3134
274,3133.5,3133.5,3127,3127
275,3132,3136.5,3131,3131.5
276,3136.5,3143,3132.5,3136
277,3135,3144.5,3130,3143
278,3144.5,3155.5,3144.5,3151.5
279,3146.5,3150,3141.5,3150
280,3148.5,3152,3141,3141
281,3140.5,3144.5,3133.5,3144
282,3142,3148,3142,3143
283,3145,3145.5,3131.5,3131.5
284,3133.5,3133.5,3118.5,3118.5
285,3117.5,3124.5,3111,3122
286,3117,3123,3114.5,3119.5
287,3120.5,3124.5,3114,3114
288,3112,3121.5,3110.5,3116.5
289,3117.5,3117.5,3111.5,3117.5
290,3118,3128,3113,3128
291,3128.5,3130.5,3124,3129
292,3129.5,3140,3128.5,3133.5
293,3128.5,3128.5,3119,3125.5
294,3126,3126,3108.5,3110.5
295,3108.5,3117.5,3107.5,3116.5
296,3118.5,3127.5,3118.5,3122.5
297,3117.5,3136.5,3116.5,3136.5
298,3136,3143,3136,3139.5
299,3134.5,3143.5,3130,3143
300,3148,3151,3134.5,3136.5
301,3135,3137,3127,3133
302,3135,3136.5,3123.5,3130.5
303,3129.5,3137.5,3128,3128
304,3127,3137.5,3125.5,3135.5
305,3135,3140.5,3134,3136
306,3137.5,3146,3137.5,3144.5
307,3146,3149.5,3142,3149.5
308,3148,3149.5,3139.5,3141
309,3136,3136.5,3128.5,3135.5
310,3136.5,3146,3136,3142
311,3141.5,3144.5,3137.5,3142
312,3144,3152,3139.5,3147
313,3148,3164.5,3148,3161.5
314,3161,3162,3154,3159.5
315,3160,3168.5,3160,3162.5
316,3164.5,3169.5,3159.5,3167.5
317,3162.5,3182.5,3162.5,3178.5
318,3179.5,3181.5,3176,3177
319,3176.5,3176.5,3160.5,3161
320,3156,3156.5,3148.5,3154.5
321,3153.5,3159,3151,3159
322,3158.5,3161.5,3153.5,3153.5
323,3152,3167,3152,3167
324,3167.5,3176,3162.5,3176
325,3171,3171,3162.5,3163.5
326,3158.5,3161,3156,3160.5
327,3159.5,3167.5,3157,3157
328,3155,3159.5,3152.5,3152.5
329,3151,3161.5,3149,3157
330,3162,3162,3150.5,3152.5
331,3151.5,3157,3147.5,3147.5
332,3148.5,3148.5,3142.5,3147.5
333,3146.5,3149,3138,3138
334,3143,3147,3139.5,3141
335,3142,3147,3136.5,3136.5
336,3138.5,3144,3137.5,3140
337,3142,3145,3132,3132
338,3137,3143,3134,3136
339,3137.5,3147.5,3137.5,3144
340,3145.5,3145.5,3136.5,3137
341,3137.5,3137.5,3122,3122
342,3123,3132.5,3123,3127.5
343,3122.5,3127.5,3116.5,3117
344,3116.5,3130,3115.5,3130
345,3132,3135.5,3126,3126.5
346,3128,3129.5,3127,3127
347,3126,3126,3112.5,3115
348,3120,3120,3111.5,3119
349,3117,3125,3117,3125
350,3123,3130.5,3123,3129
351,3130,3138,3128.5,3133.5
352,3132.5,3135,3127,3130
353,3132,3132,3123,3129
354,3130.5,3148.5,3130,3146.5
355,3147,3152.5,3141,3152
356,3153.5,3155.5,3144.5,3144.5
357,3144,3151.5,3142.5,3146.5
358,3146,3154.5,3146,3149.5
359,3144.5,3147.5,3140,3140
360,3138.5,3138.5,3132,3132.5
361,3127.5,3141.5,3127.5,3141
362,3142.5,3150,3135,3135
363,3135.5,3143.5,3134.5,3143
364,3145,3152,3144.5,3146.5
365,3144.5,3145,3134.5,3140
366,3145,3145,3137.5,3144.5
367,3146,3159,3146,3154
368,3152.5,3162,3152,3161
369,3159.5,3164,3157.5,3159.5
370,3159,3175,3158.5,3171.5
371,3170,3171,3166,3169
372,3170,3180,3167.5,3180
373,3179.5,3187,3178.5,3187
374,3185.5,3192.5,3185.5,3187.5
375,3189.5,3190.5,3180,3186.5
376,3184.5,3184.5,3172,3174.5
377,3173,3173,3158,3165
378,3165.5,3171,3164,3171
379,3166,3172.5,3162.5,3168
380,3166.5,3191.5,3166.5,3191.5
381,3186.5,3186.5,3180,3180.5
382,3175.5,3178,3163,3163.5
383,3162.5,3168,3159,3160.5
384,3162,3168,3157,3157
385,3156,3162.5,3156,3157.5
386,3156,3164.5,3156,3162
387,3163,3173,3163,3168
388,3173,3178.5,3165.5,3165.5
389,3167,3170,3165,3168.5
390,3168,3173,3162,3165.5
391,3167.5,3167.5,3158,3158
392,3160,3162,3147.5,3151
393,3152.5,3157,3150.5,3155.5
394,3153.5,3160.5,3153,3159.5
395,3164.5,3165,3157.5,3162
396,3162.5,3165.5,3159,3161
397,3161.5,3167,3155,3157
398,3155,3163.5,3155,3163.5
399,3162.5,3162.5,3154.5,3154.5
400,3153,3154,3141.5,3142.5
401,3141.5,3141.5,3134,3136
402,3137.5,3137.5,3123,3123
403,3118,3132,3118,3131
404,3133,3141,3130,3137.5
405,3132.5,3138,3126.5,3133
406,3134.5,3138.5,3132.5,3134.5
407,3135.5,3136,3121,3123
408,3124,3141.5,3124,3141.5
409,3139.5,3151.5,3139.5,3143
410,3138,3138,3113.5,3118.5
411,3120.5,3130,3115.5,3130
412,3129,3129,3122,3126
413,3125,3144,3125,3142.5
414,3140.5,3140.5,3129.5,3132.5
415,3131,3132.5,3124,3131
416,3132.5,3136,3125,3125
417,3126.5,3131,3126.5,3131
418,3129,3137,3126,3128
419,3129,3134,3127.5,3130.5
420,3132.5,3139.5,3127.5,3132.5
421,3131,3131,3107.5,3107.5
422,3105.5,3109,3103.5,3106
423,3105,3105,3096.5,3097
424,3098,3105,3097.5,3105
425,3105.5,3105.5,3088.5,3098
426,3099.5,3105.5,3098.5,3103
427,3104,3106.5,3095,3095.5
428,3097,3097,3088.5,3093
429,3093.5,3098.5,3093.5,3097.5
430,3096.5,3103.5,3096,3103
431,3102.5,3128.5,3102.5,3128.5
432,3123.5,3125,3118.5,3119.5
433,3121.5,3121.5,3110,3115.5
434,3115,3123.5,3113,3123.5
435,3128.5,3138.5,3123.5,3138.5
436,3137,3146.5,3136,3142
437,3143.5,3143.5,3132.5,3137
438,3139,3148,3139,3148
439,3149,3160,3147,3149
440,3154,3164,3154,3161.5
441,3160.5,3160.5,3153,3153
442,3152,3155.5,3147.5,3148
443,3147.5,3152.5,3140.5,3142.5
444,3140.5,3140.5,3119.5,3124.5
445,3123,3130.5,3120,3130
446,3132,3139,3132,3134.5
447,3136,3136,3117.5,3117.5
448,3118,3118,3108.5,3108.5
449,3108,3126.5,3108,3121.5
450,3120.5,3121.5,3113.5,3118.5
451,3120.5,3123.5,3117,3118.5
452,3120,3127,3115.5,3120.5
453,3115.5,3121,3114,3116
454,3121,3143,3120.5,3143
455,3138,3138,3121,3126
456,3126.5,3134.5,3126,3134
457,3132.5,3135.5,3129.5,3129.5
458,3130,3139,3126.5,3139
459,3140,3143,3135,3139.5
460,3141.5,3141.5,3136,3140.5
461,3145.5,3150.5,3142,3147
462,3148,3153.5,3142.5,3150.5
463,3150,3170,3150,3170
464,3171,3179.5,3168,3179.5
465,3181.5,3182,3175,3182
466,3181,3181,3169.5,3172
467,3171.5,3176.5,3166.5,3166.5
468,3161.5,3169,3159.5,3163
469,3161,3179.5,3161,3175
470,3173.5,3183.5,3168.5,3174
471,3176,3192.5,3176,3188.5
472,3193.5,3200.5,3190.5,3200.5
473,3202.5,3206,3200.5,3202
474,3204,3221.5,3202,3221.5
475,3226.5,3229.5,3211,3213
476,3211,3217.5,3200,3200.5
477,3202,3211,3202,3207.5
478,3202.5,3202.5,3192,3192
479,3197,3209.5,3195,3209.5
480,3210.5,3217,3209,3213
481,3213.5,3216,3207.5,3208.5
482,3209,3214,3205.5,3206
483,3211,3211,3206.5,3210.5
484,3209.5,3209.5,3203.5,3206.5
485,3205.5,3205.5,3190,3190
486,3189.5,3189.5,3175,3177
487,3175.5,3184.5,3175,3177
488,3172,3179.5,3169,3179.5
489,3174.5,3181,3174,3178
490,3176,3187,3175.5,3187
491,3186.5,3190.5,3185,3185
492,3187,3194.5,3182,3182.5
493,3183.5,3187.5,3175.5,3177
494,3176.5,3176.5,3167.5,3174
495,3174.5,3180,3174,3174
496,3176,3183,3173,3183
497,3184,3186,3173,3173
498,3171,3176,3165.5,3172
499,3173,3193.5,3173,3192
500,3191.5,3193,3183,3185
501,3185.5,3190.5,3176.5,3181
502,3176,3176,3161,3164
503,3165.5,3195.5,3165.5,3195.5
504,3197,3202.5,3195,3202
505,3202.5,3203.5,3187,3192
506,3193.5,3195.5,3186,3186
507,3187.5,3193.5,3180,3182
508,3177,3182.5,3174.5,3178
509,3183,3188,3179.5,3186
510,3187.5,3204.5,3187,3199
511,3200.5,3204.5,3196.5,3204.5
512,3199.5,3204.5,3192.5,3197.5
513,3196,3199.5,3185.5,3185.5
514,3180.5,3188,3180.5,3183.5
515,3181.5,3181.5,3169.5,3169.5
516,3170.5,3170.5,3158,3158
517,3160,3161,3155,3159
518,3164,3179.5,3164,3179.5
519,3178,3190.5,3178,3190.5
520,3192.5,3195.5,3188.5,3191
521,3190,3192,3183,3188
522,3190,3203,3190,3203
523,3202.5,3213,3202.5,3210
524,3208,3208,3199,3199.5
525,3201.5,3202.5,3180.5,3180.5
526,3178.5,3178.5,3160.5,3160.5
527,3162.5,3166.5,3157.5,3158
528,3153,3153,3143.5,3145
529,3144,3144,3135.5,3143.5
530,3145.5,3145.5,3138,3143.5
531,3148.5,3151,3132,3132
532,3127,3138,3121,3121
533,3122.5,3128,3121,3124
534,3125.5,3125.5,3113,3123.5
535,3125,3129,3119.5,3120
536,3120.5,3122.5,3115.5,3119.5
537,3121,3139.5,3120.5,3138
538,3136,3147,3136,3145.5
539,3145,3160,3143,3157.5
540,3158,3160.5,3150.5,3151.5
541,3146.5,3151,3144.5,3148
542,3147.5,3155,3147.5,3149.5
543,3148.5,3148.5,3141.5,3141.5
544,3141,3144.5,3134,3142.5
545,3144,3144,3134,3138.5
546,3133.5,3134.5,3120.5,3120.5
547,3115.5,3118.5,3108.5,3115
548,3120,3120,3109,3111
549,3110.5,3112.5,3104,3109
550,3111,3116,3099.5,3103.5
551,3098.5,3103,3097,3097
552,3096,3101.5,3093,3101.5
553,3100.5,3107,3100,3101
554,3099.5,3108.5,3099,3102.5
555,3101,3105.5,3101,3102.5
556,3104,3104,3093,3096
557,3097.5,3099,3091.5,3092
558,3087,3097.5,3082.5,3096.5
559,3097,3104.5,3094.5,3098
560,3093,3098,3087,3087
561,3089,3093.5,3086.5,3093
562,3091.5,3097,3089.5,3097
563,3098.5,3105.5,3095.5,3105.5
564,3104.5,3109,3100,3100
565,3099.5,3100.5,3093.5,3100.5
566,3099.5,3099.5,3090,3091.5
567,3090,3098,3088.5,3098
568,3103,3103,3091,3100.5
569,3098.5,3100.5,3090,3095
570,3093,3093,3079.5,3084.5
571,3083.5,3085,3070,3077
572,3079,3092,3079,3090.5
573,3091,3096,3089,3094
574,3093,3103.5,3092,3102
575,3103,3104.5,3097.5,3101.5
576,3103,3103,3092.5,3099
577,3098.5,3105,3098.5,3104
578,3104.5,3115.5,3104.5,3113.5
579,3108.5,3113,3103.5,3108
580,3113,3121,3111.5,3121
581,3121.5,3125,3117.5,3125
582,3127,3130.5,3124,3126
583,3125.5,3128.5,3122.5,3127
584,3127.5,3129.5,3124.5,3128
585,3130,3144,3130,3136
586,3131,3131,3122.5,3130.5
587,3130,3132,3127,3127.5
588,3126,3126,3116,3116
589,3114,3126,3113.5,3113.5
590,3108.5,3123,3108.5,3121
591,3123,3128.5,3117,3120
592,3119.5,3130,3119.5,3130
593,3132,3134,3127,3128.5
594,3129.5,3136,3127.5,3136
595,3135.5,3147.5,3130,3147.5
596,3147,3161,3147,3161
597,3166,3183,3166,3178
598,3180,3198.5,3180,3198
599,3197.5,3202.5,3189,3189
600,3190.5,3199.5,3190,3194.5
601,3195,3196.5,3187,3187
602,3182,3195.5,3182,3187
603,3187.5,3194,3182.5,3194
604,3199,3202,3194,3199
605,3200,3200.5,3183.5,3183.5
606,3188.5,3190.5,3186.5,3189
607,3187,3188.5,3179.5,3186
608,3185.5,3188,3179,3180.5
609,3182,3188.5,3177.5,3179.5
610,3177.5,3185.5,3176,3180.5
611,3181.5,3181.5,3168.5,3169.5
612,3168.5,3168.5,3156,3157.5
613,3159.5,3167.5,3159.5,3165
614,3164.5,3168.5,3158.5,3167.5
615,3168.5,3188,3168.5,3185.5
616,3185,3200,3185,3199
617,3197,3207,3197,3203
618,3202.5,3214,3202.5,3213.5
619,3211.5,3216.5,3207.5,3210
620,3209.5,3213.5,3203,3210.5
621,3210,3225.5,3210,3223
622,3225,3227,3216,3218.5
623,3218,3218,3200.5,3207.5
624,3206,3213.5,3204.5,3211.5
625,3206.5,3219,3206,3213.5
626,3214.5,3227,3214.5,3224.5
627,3223.5,3227,3209.5,3209.5
628,3211.5,3215,3201.5,3205
629,3203.5,3205,3188.5,3188.5
630,3188,3188,3182.5,3184.5
631,3179.5,3187.5,3179.5,3187.5
632,3187,3187,3174,3174
633,3169,3183.5,3169,3177
634,3175.5,3175.5,3156.5,3162.5
635,3163,3163,3150,3152
636,3151.5,3152,3143.5,3147.5
637,3147,3157,3146,3154.5
638,3155.5,3158.5,3152,3153
